submitted (unix timestamp),r1m1,r1m1Games,r1m2,r1m2Games,r1m3,r1m3Games,r1m4,r1m4Games,r1m5,r1m5Games,r1m6,r1m6Games,r1m7,r1m7Games,r1m8,r1m8Games,r2m1,r2m2,r2m3,r2m4,r3m1,r3m2,r4m1,SCF goals
1554665112,TBL,4,BOS,6,WSH,5,PIT,6,COL,7,SJS,5,NSH,5,WPG,4,TBL,WSH,SJS,WPG,TBL,WPG,TBL,36
1554665113,TBL,5,BOS,6,WSH,4,PIT,7,CGY,5,VGK,6,NSH,5,STL,7,TBL,WSH,VGK,NSH,TBL,NSH,TBL,53
1554665113,TBL,5,BOS,7,WSH,6,PIT,5,CGY,5,VGK,6,NSH,7,WPG,6,TBL,WSH,CGY,NSH,TBL,NSH,TBL,20
1554665115,TBL,5,BOS,7,WSH,5,NYI,6,CGY,4,VGK,7,NSH,6,WPG,6,TBL,NYI,CGY,WPG,TBL,CGY,CGY,25
1554665116,TBL,5,BOS,6,WSH,6,NYI,4,CGY,7,SJS,6,NSH,7,WPG,5,TBL,NYI,CGY,WPG,TBL,CGY,CGY,42
1554665116,CBJ,6,BOS,6,CAR,6,PIT,5,CGY,7,VGK,6,NSH,5,STL,6,BOS,CAR,VGK,STL,CAR,VGK,VGK,36
1554665118,TBL,4,TOR,6,WSH,5,PIT,5,CGY,5,SJS,5,NSH,5,WPG,6,TBL,WSH,CGY,WPG,TBL,WPG,WPG,37
1554665119,TBL,5,BOS,7,WSH,4,NYI,5,CGY,4,VGK,4,NSH,6,STL,4,BOS,NYI,VGK,NSH,NYI,VGK,NYI,16
1554665119,CBJ,5,BOS,6,CAR,4,NYI,7,CGY,4,VGK,6,NSH,5,WPG,5,BOS,NYI,CGY,WPG,BOS,WPG,BOS,69
1554665122,TBL,5,BOS,6,WSH,5,PIT,6,CGY,6,SJS,6,NSH,5,STL,6,TBL,WSH,SJS,NSH,WSH,NSH,NSH,30
1554665123,TBL,5,TOR,7,WSH,4,PIT,6,CGY,6,SJS,5,NSH,5,WPG,6,TBL,PIT,CGY,WPG,TBL,WPG,TBL,42
1554665123,TBL,5,TOR,6,WSH,5,PIT,7,CGY,6,VGK,6,NSH,5,WPG,5,TBL,WSH,CGY,WPG,TBL,CGY,TBL,33
1554665124,TBL,5,TOR,7,CAR,6,PIT,6,CGY,5,VGK,6,NSH,7,STL,6,TBL,CAR,CGY,NSH,TBL,NSH,TBL,31
1554665129,TBL,5,BOS,6,WSH,5,PIT,6,CGY,5,VGK,6,NSH,6,WPG,6,TBL,PIT,VGK,NSH,TBL,NSH,TBL,31
1554665130,TBL,6,TOR,7,WSH,6,NYI,7,CGY,5,VGK,6,NSH,7,STL,6,TBL,WSH,CGY,STL,WSH,STL,WSH,35
1554665131,TBL,5,BOS,6,WSH,5,PIT,4,CGY,6,SJS,7,NSH,5,STL,6,TBL,WSH,SJS,STL,TBL,SJS,TBL,33
1554665134,TBL,5,TOR,7,WSH,6,PIT,7,CGY,6,SJS,5,NSH,5,WPG,7,TBL,PIT,CGY,WPG,TBL,WPG,TBL,48
1554665138,TBL,6,TOR,6,WSH,6,PIT,7,COL,7,SJS,5,NSH,6,WPG,7,TOR,PIT,SJS,WPG,TOR,SJS,TOR,27
1554665139,TBL,5,BOS,6,CAR,7,PIT,6,CGY,6,VGK,5,DAL,7,WPG,6,TBL,CAR,CGY,WPG,TBL,CGY,TBL,38
1554665140,TBL,7,TOR,5,WSH,4,PIT,7,COL,6,VGK,5,NSH,4,STL,7,TOR,WSH,VGK,STL,TOR,VGK,VGK,28
1554665140,TBL,5,BOS,6,WSH,5,PIT,7,CGY,6,SJS,7,NSH,6,WPG,6,TBL,WSH,CGY,WPG,TBL,CGY,CGY,19
1554665142,TBL,5,BOS,6,WSH,5,PIT,6,CGY,5,SJS,7,NSH,6,STL,6,TBL,WSH,SJS,STL,TBL,SJS,SJS,24
